ID;Œntrebare;Var_A;Var_B;Var_C;Var_D;Var_E;Raspuns_Corect;Categorie;Punctaj
450;La amplasarea mijloacelor tehnice de aparare impotriva incendiilor... se au in vedere si urmatoarele cerinte:;"locurile de amplasare sa fie vizibile, usor accesibile si la distante optime fata de focarele cele mai probabile;";"inaltimea de montare sa fie accesibila;";sa fie bine fixate si sa nu impiedice evacuarea persoanelor in caz de incendiu;sa fie in permanenta stare de functionare;-;ABC;PSI;2
2093;In timpul executarii lucrarilor cu foc deschis trebuie sa se asigure:;"supravegherea permanenta a flacarii, a raspandirii si a traiectoriilor scanteilor sau particulelor de materiale incandescente si a intensitatii fluxului de caldura;";"strangerea si depozitarea resturilor de electrozi in vase speciale cu nisip sau cu apa;";"inchiderea robinetelor buteliei de oxigen si a generatorului de acetilena, daca durata intreruperii executarii lucrarii depaseste 10 minute;";"interzicerea agatarii arzatoarelor, chiar stinse, de buteliile de oxigen sau de generatoarele de acetilena;";"efectuarea de deplasari cu arzatoarele aprinse in afara zonei de lucru sau de urcari pe scari, schele etc.;";ABCD;PSI;2
2095;In caz de incendiu persoanele fizice au urmatoarele obligatii:;sa anunte prin orice mijloc serviciile de urgenta;sa ia masuri dupa posibilitatile sale de limitare si stingere a incendiului;sa acorde ajutor cand si cat este rational posibil semenilor aflati in pericol;sa permita neconditionat accesul serviciilor de urgenta si al persoanelor care acorda ajutor;sa permita neconditionat utilizarea apei, a materialelor si a mijloacelor proprii...;ABCDE;PSI;2
2096;Fiecare salariat are, la locul de munca, urmatoarele obligatii principale:;sa respecte regulile si masurile de aparare impotriva incendiilor, aduse la cunostinta...;sa utilizeze substantele periculoase, instalatiile, utilajele, masinile, aparatura si echipamentele...;sa nu furnizeze persoanelor abilitate toate datele si informatiile de care are cunostinta...;sa nu efectueze manevre nepermise sau modificari neautorizate ale sistemelor si instalatiilor...;sa actioneze, in conformitate cu procedurile stabilite la locul de munca, in cazul aparitiei oricarui pericol iminent;ABDE;PSI;2
2097;Administratorul sau conducatorul institutiei, dupa caz, are urmatoarele obligatii principale:;sa stabileasca, prin dispozitii scrise, responsabilitatile si modul de organizare...;organizeaza si gestioneaza baze de date privind, in principal, riscurile de incendiu...;sa permita alimentarea cu apa a autospecialelor de interventie in situatii de urgenta;sa elaboreze instructiunile de aparare impotriva incendiilor si sa stabileasca atributiile...;sa asigure identificarea si evaluarea riscurilor de incendiu din unitatea sa...;ACDE;PSI;2
2098;Organizarea apararii impotriva incendiilor la locul de munca consta in:;prevenirea incendiilor, prin luarea in evidenta a materialelor...;organizarea interventiei de stingere a incendiilor;"afisarea instructiunilor de aparare impotriva incendiilor;";marcarea pericolului de incendiu prin dispozitii verbale;organizarea salvarii utilizatorilor si a evacuarii bunurilor...;ABCE;PSI;2
2099;Reglementarea lucrarilor cu foc deschis presupune:;stabilirea locurilor unde, periodic sau permanent, se pot efectua lucrari cu foc deschis...;"stabilirea si marcarea locurilor cu pericol de incendiu in care este interzisa utilizarea focului deschis;";"nominalizarea persoanelor care au dreptul sa emita permis de lucru cu foc;";descrierea procedurii de emitere, semnare, aducere la cunostinta si pastrare a permisului...;aprobarea unor instructiuni specifice de prevenire a incendiilor pentru astfel de lucrari.;ABCDE;PSI;2
2102;Semnalele optice si acustice produse de dispozitivele de avertizare trebuie sa indeplineasca urmatoarele conditii:;sa fie active in stare de asteptare;sa poata fi clar identificate si percepute cu tonalitati diferite...;"sa indice toate caile de evacuare din zonele de stingere;";sa nu poata fi oprite inainte de expirarea timpului de functionare...;"sa fie in concordanta cu capacitatile psihomotorii si senzoriale ale utilizatorilor;";BCDE;PSI;2
2762;Manevrele pentru primul ajutor in caz de arsuri electrice sunt:;se controleaza respiratia;se aplica respiratia artificiala daca este necesar;se controleaza circulatia sangelui;se aplica resuscitarea cardio-respiratorie, daca pulsul nu este sesizabil;in cazul arsurilor electrice, prima manevra ce trebuie executata este scoaterea accidentatului...;ABCDE;PROTECTIA MUNCII;3
2802;La stabilirea masurilor specifice de prevenire a incendiilor se au in vedere:;prevenirea manifestarii surselor specifice de aprindere;gestionarea materialelor si a deseurilor combustibile...;dotarea cu mijloacele tehnice de aparare...;verificarea spatiilor la terminarea programului de lucru;afisarea la loc vizibil a cailor de evacuare a materialelor in caz de incendiu;ABCD;PSI;2
