"Echipament;Tip;Titlu;Continut"
"TRAFO;Intrebare;Specificati modul de func?ionare al PMB în situatia în care avem rotit circuitul de curent la blocul X654 bornele 7cu 9 în cazul unui defect monofazat pe bara de MT? Explicati de ce ?;Nu func?ioneaz? PMB. Cei doi curenti se vor închide în circuitele dintre TC ?i bloc"
"TRAFO;Intrebare;Ce rol are protec?ia PMB ?i care este modul de func?ionare?;PMB are rolul de a elimina rapid defectele monofazate în zona barelor MT ?i transformarea lor în defecte polifazate în sta?iile cu tratare prin rezistor. Carcasele metalice ale celulelor de MT sînt izolate de mas? ?i racordate la o centur? artificial? ale c?rei capete sînt racordate la centura real? de p?mîntare a sta?iei prin doi reductori de curent. Curen?ii secundari de la cei doi reductori sînt însuma?i ?i controla?i de releul de curent K640 care prin releul de timp D118 ?i releul intermediar K118 comand? declan?area ambelor întreruptoare. Func?ionarea PMB este condi?ionat? de demarajul protec?iei homopolare de curent temporizat? (D117 contactul 3_4)"
"TRAFO;Intrebare;Ce întreruptor este declan?at de protec?ia homopolar? de tensiune 20 kV?;Ambele întreruptoare, 110 kV ?i 20 kV"
"TRAFO;Intrebare;În schema Trafo 110/MT cu releu de diferential RDS, ce modificari (pozitii ale DD-urilor) trebuiesc executate fata de schema normala de functionare in panoul de Transformator existent, pentru preluarea consumului unei statii de transformare adiacenta, al carei bara de medie tensiune este tratata cu bobina de stingere.De mentionat este faptul ca in statia in care este montat prezentul stelaj de protectie de Transformator se deschide separatorul de nul Q61 al TSI (trafo servicii proprii).;Se scot urmatoarele DD-uri: X515 declansare din protectia homopolara de current 20kV, X516 declansare din protectia maximala de tensiune homopolara 20kV, X517 declansare din protectia homopolara de current temporizata, X518 declansare din protectia de punere la masa a barelor – PMB"
"TRAFO;Intrebare;La un defect intern in infasurarile 20kV aferente Trafo 110/20kV. Avand in vedere faptul ca DD-ul X511 este interrupt. Ce semnalizari apar in panourile de protectie Trafo pe clapetele releelor intermediare, clapetele releelor de semnalizare respectiv pe lampile de semnalizare?;Pe releul intermediar K121 – clapeta cazuta “Semnal gaze”, Pe releul K101 – clapeta cazuta “Declansare gaze cuva”, Pe releul K431 – clapeta cazuta “Functionat protectia gaze cuva”, Pe releul K103 – clapeta cazuta “Declansare suprapresiune Trafo”, Pe releul K433 – clapeta cazuta “Declansare la suprapresiune”, Pe releul K130 – clapeta cazuta “Automentinere declansare la defect intern”, Lampa de semnalizare S130 aprinsa “ Defect intern Trafo”, Lampa de semnalizare S101 aprinsa “Declansat I-110kV Trafo”, Lampa de semnalizare S102 aprinsa “Declansat I-20kV Trafo”"
"TRAFO;Intrebare;Ce întreruptor este declan?at de protec?ia homopolar? de tensiune 20 kV?;Ambele întreruptoare, 110 kV ?i 20 kV"
"TRAFO;Defect;La releul K822 puntea 5_7 mutat? la 7_9;Nu func?ioneaz? protec?ia diferen?ial?"
"TRAFO;Defect;La S130 puntea între buton ?i lamp? întrerupt?;Nu func?ioneaz? automen?inerea la defect intern"
"TRAFO;Defect;Bloc X654 fir de la borna 4 mutat la borna 8;Nu func?ioneaz? PMB pe ramura 1"
"TRAFO;Defect;K720 contact 13_14 defect;Nu func?ioneaz? protec?ia homopolar? de tensiune"
